Tamanho, Semente, Algoritmo, Tempo(ns), Itera��es, Trocas
1000, 42, Selection Sort, 6961200, 499500, 990
1000, 42, Quick Sort, 521300, 10248, 6619
1000, 42, Merge Sort, 1033400, 8699, 4414
1000, 42, Counting Sort, 86000, 1000, 1000
1000, 123, Selection Sort, 1076400, 499500, 995
1000, 123, Quick Sort, 134000, 12701, 6094
1000, 123, Merge Sort, 361200, 8691, 4403
1000, 123, Counting Sort, 139400, 1000, 1000
1000, 256, Selection Sort, 4247100, 499500, 993
1000, 256, Quick Sort, 135200, 10812, 5908
1000, 256, Merge Sort, 192800, 8736, 4407
1000, 256, Counting Sort, 82000, 1000, 1000
1000, 512, Selection Sort, 1732300, 499500, 992
1000, 512, Quick Sort, 95300, 10345, 5576
1000, 512, Merge Sort, 215000, 8679, 4404
1000, 512, Counting Sort, 83300, 1000, 1000
1000, 1024, Selection Sort, 439100, 499500, 991
1000, 1024, Quick Sort, 96700, 10213, 5501
1000, 1024, Merge Sort, 205400, 8693, 4396
1000, 1024, Counting Sort, 102200, 1000, 1000
10000, 42, Selection Sort, 37953500, 49995000, 9989
10000, 42, Quick Sort, 746200, 159049, 90534
10000, 42, Merge Sort, 1769400, 120540, 61288
10000, 42, Counting Sort, 927200, 10000, 10000
10000, 123, Selection Sort, 43019200, 49995000, 9986
10000, 123, Quick Sort, 1038600, 153409, 83463
10000, 123, Merge Sort, 1795900, 120429, 61279
10000, 123, Counting Sort, 996600, 10000, 10000
10000, 256, Selection Sort, 34157800, 49995000, 9984
10000, 256, Quick Sort, 1007300, 149683, 83066
10000, 256, Merge Sort, 2178700, 120425, 61244
10000, 256, Counting Sort, 309900, 10000, 10000
10000, 512, Selection Sort, 52075600, 49995000, 9990
10000, 512, Quick Sort, 1513600, 161853, 83239
10000, 512, Merge Sort, 3070100, 120435, 61284
10000, 512, Counting Sort, 596500, 10000, 10000
10000, 1024, Selection Sort, 49208500, 49995000, 9988
10000, 1024, Quick Sort, 948000, 151951, 85974
10000, 1024, Merge Sort, 2470600, 120540, 61365
10000, 1024, Counting Sort, 332600, 10000, 10000
100000, 42, Selection Sort, 3597676200, 704982704, 99993
100000, 42, Quick Sort, 10148000, 2121118, 1074705
100000, 42, Merge Sort, 20085400, 1536601, 776875
100000, 42, Counting Sort, 1351000, 100000, 100000
100000, 123, Selection Sort, 3610256700, 704982704, 99989
100000, 123, Quick Sort, 10065500, 1968720, 1091950
100000, 123, Merge Sort, 19023100, 1536245, 776380
100000, 123, Counting Sort, 1344300, 100000, 100000
100000, 256, Selection Sort, 3571569200, 704982704, 99988
100000, 256, Quick Sort, 11210500, 1982513, 1047077
100000, 256, Merge Sort, 17505700, 1536491, 776724
100000, 256, Counting Sort, 1999600, 100000, 100000
100000, 512, Selection Sort, 3486097400, 704982704, 99983
100000, 512, Quick Sort, 10106200, 2065247, 1116563
100000, 512, Merge Sort, 17550700, 1536294, 776631
100000, 512, Counting Sort, 1253200, 100000, 100000
100000, 1024, Selection Sort, 3502835600, 704982704, 99988
100000, 1024, Quick Sort, 14645200, 2041862, 1145591
100000, 1024, Merge Sort, 19930200, 1536613, 776697
100000, 1024, Counting Sort, 1260800, 100000, 100000
